"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2375,145,65,7514,"Inside","1Story",5,7,1967,1975,"TA","TA","CBlock","TA","TA","ALQ",373,462,943,"GasA","TA","Y",1387,0,1387,1,0,1,0,3,"TA",6,1,"Attchd",1,300,"TA","TA",0,0,240,0
1713,245.7,70,9926,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",1178,436,1614,"GasA","Ex","Y",1614,0,1614,1,0,2,0,3,"Gd",7,0,"Attchd",3,878,"TA","TA",100,38,0,0
233,260,0,23595,"Inside","1Story",7,6,1979,1979,"Gd","TA","PConc","Gd","TA","GLQ",1258,74,1332,"GasA","TA","Y",1332,192,1524,2,0,0,1,0,"Gd",4,1,"Attchd",2,586,"TA","TA",268,0,0,0
1948,103.2,55,5500,"Inside","1.5Unf",4,6,1956,1956,"TA","TA","CBlock","TA","TA","Unf",0,882,882,"GasA","Ex","Y",882,0,882,0,0,1,0,1,"TA",4,0,"None",0,0,"None","None",0,0,0,0
1590,206.3,78,7060,"Inside","SFoyer",7,5,1997,1998,"TA","Gd","PConc","Gd","Gd","GLQ",1309,35,1344,"GasA","Ex","Y",1344,0,1344,2,0,2,0,2,"TA",8,0,"Attchd",4,784,"TA","TA",0,0,0,0
739,119,50,6000,"Inside","1.5Unf",6,7,1926,2004,"Gd","TA","PConc","TA","TA","Unf",0,884,884,"GasA","Gd","Y",904,0,904,0,0,1,0,2,"TA",4,0,"Detchd",1,180,"TA","TA",0,0,105,0
257,159,82,11105,"Corner","SFoyer",5,5,1996,1996,"TA","Gd","PConc","Gd","Fa","GLQ",870,0,870,"GasA","Gd","Y",965,0,965,1,0,1,0,2,"TA",4,0,"Attchd",2,580,"Gd","TA",71,0,0,0
2074,211,97,10029,"Corner","2Story",6,5,1988,1989,"Gd","TA","PConc","Gd","TA","GLQ",831,320,1151,"GasA","TA","Y",1164,896,2060,0,1,2,1,4,"TA",8,1,"Attchd",2,521,"TA","TA",0,228,0,192
591,167.9,80,9650,"Inside","1Story",6,5,1977,1977,"TA","TA","CBlock","Gd","TA","ALQ",686,664,1350,"GasA","TA","Y",1334,0,1334,0,1,2,0,2,"TA",6,1,"Attchd",2,630,"TA","TA",0,16,0,0
2583,156,70,8092,"Inside","1Story",6,8,1954,2000,"TA","Gd","CBlock","TA","TA","ALQ",824,226,1050,"GasA","Ex","Y",1050,0,1050,1,0,1,0,3,"Gd",6,0,"Attchd",1,286,"TA","TA",0,0,0,0
2463,232.6,81,11216,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","Gd","Unf",0,1489,1489,"GasA","Ex","Y",1489,0,1489,0,0,2,0,3,"Gd",7,1,"Attchd",2,776,"TA","TA",0,140,0,0
368,372.5,80,11844,"Inside","1Story",8,5,2008,2008,"Gd","TA","PConc","Ex","TA","Unf",0,2046,2046,"GasA","Ex","Y",2046,0,2046,0,0,2,1,3,"Gd",7,1,"Attchd",3,834,"TA","TA",322,82,0,0
2013,113,51,6120,"Inside","1.5Unf",5,7,1939,1950,"Gd","TA","BrkTil","TA","TA","Unf",0,884,884,"GasA","Ex","Y",884,0,884,0,0,1,0,2,"TA",5,0,"Detchd",1,240,"TA","TA",0,0,136,0
1425,248.5,65,9345,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1615,1615,"GasA","Ex","Y",1615,0,1615,0,0,2,0,3,"Gd",7,1,"Attchd",3,864,"TA","TA",168,30,0,0
2410,171.75,0,3136,"Corner","1Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,1405,1405,"GasA","Ex","Y",1405,0,1405,0,0,2,0,2,"Gd",6,1,"Attchd",2,478,"TA","TA",148,36,0,0
1362,141,60,6876,"Inside","1.5Fin",6,6,1938,1958,"TA","TA","BrkTil","TA","TA","Unf",0,1272,1272,"GasA","TA","Y",1272,0,1969,0,0,2,0,4,"TA",9,1,"Detchd",2,400,"TA","TA",0,34,0,0
2538,124.4,0,9759,"Inside","1Story",5,5,1966,1966,"TA","TA","CBlock","TA","TA","BLQ",799,252,1051,"GasA","TA","Y",1051,0,1051,1,0,1,0,3,"TA",6,0,"Attchd",1,264,"TA","TA",182,88,0,0
2159,219.5,65,8200,"Inside","2Story",7,5,2003,2004,"Gd","TA","PConc","Gd","TA","Unf",0,847,847,"GasA","Ex","Y",847,1081,1928,0,0,2,1,4,"Gd",8,1,"BuiltIn",2,434,"TA","TA",100,48,0,0
306,102.776,66,8712,"Inside","1.5Fin",4,7,1900,1950,"TA","TA","Stone","TA","TA","Unf",0,859,859,"GasA","Gd","Y",859,319,1178,0,0,1,0,2,"TA",7,0,"Detchd",1,384,"TA","TA",68,0,98,0
2578,148,125,10000,"Corner","SLvl",5,6,1956,1956,"TA","TA","CBlock","TA","TA","BLQ",678,99,1058,"GasA","Ex","Y",1370,0,1370,1,0,1,0,3,"TA",6,1,"Basment",1,300,"TA","TA",191,0,0,120
1612,167.3,85,10667,"Inside","1Story",6,6,1971,1971,"TA","TA","CBlock","TA","TA","BLQ",838,749,1587,"GasA","TA","Y",1587,0,1587,0,0,2,0,3,"TA",7,1,"Attchd",2,525,"TA","TA",0,44,0,0
2390,275.5,80,10240,"Inside","2Story",8,5,2005,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1030,1030,"GasA","Gd","Y",1038,1060,2098,0,0,2,1,3,"Ex",8,1,"Attchd",3,878,"TA","TA",192,52,0,0
2820,127.5,38,7840,"CulDSac","SFoyer",6,5,1975,1975,"TA","TA","CBlock","Gd","TA","GLQ",976,0,976,"GasA","TA","Y",1012,0,1012,0,2,2,0,4,"TA",4,0,"None",0,0,"None","None",0,0,0,0
394,148.5,0,8750,"Inside","1Story",5,6,1970,1970,"TA","TA","CBlock","TA","TA","BLQ",828,174,1002,"GasA","TA","Y",1002,0,1002,1,0,1,0,3,"TA",5,0,"Detchd",2,902,"TA","TA",0,0,0,0
997,173,0,15038,"Corner","2Story",6,5,1996,1996,"TA","TA","PConc","Gd","TA","Rec",138,778,916,"GasA","Gd","Y",916,720,1636,0,0,2,1,3,"TA",7,1,"Attchd",2,386,"TA","TA",168,84,0,0
1725,318.061,68,7820,"Inside","1Story",9,5,2007,2007,"Ex","TA","PConc","Ex","TA","Unf",0,1869,1869,"GasA","Ex","Y",1869,0,1869,0,0,2,0,2,"Ex",6,1,"Attchd",2,617,"TA","TA",210,54,0,0
2882,115,50,9000,"Inside","1.5Fin",5,6,1951,1951,"Fa","Fa","CBlock","TA","TA","Unf",0,660,660,"GasA","TA","N",1060,336,1396,0,0,2,0,4,"TA",8,0,"None",0,0,"None","None",0,0,0,0
2500,260,121,16059,"Corner","2Story",8,5,1991,1992,"Gd","TA","CBlock","Gd","TA","Unf",0,1288,1288,"GasA","Ex","Y",1301,1116,2417,0,0,2,1,4,"Gd",9,1,"Attchd",2,462,"TA","TA",127,82,0,0
244,84.9,60,11100,"Inside","1Story",4,7,1946,2006,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Ex","Y",930,0,930,0,0,1,0,2,"Gd",6,0,"Detchd",1,308,"TA","TA",0,0,0,0
278,64,89,11792,"Inside","1.5Fin",4,5,1948,1950,"TA","TA","CBlock","TA","TA","Unf",0,744,744,"GasA","Ex","N",792,328,1120,0,0,1,0,2,"Fa",5,0,"Detchd",2,480,"TA","Fa",0,0,0,160
612,124.5,80,9600,"Corner","1Story",5,6,1959,1959,"TA","TA","CBlock","TA","TA","ALQ",991,50,1041,"GasA","Ex","Y",1041,0,1041,1,0,1,0,3,"TA",6,0,"Attchd",1,270,"TA","TA",224,88,0,0
2782,132.5,55,10780,"Inside","SLvl",5,5,1976,1976,"TA","TA","CBlock","TA","TA","ALQ",483,428,911,"GasA","Gd","Y",954,0,954,0,0,1,0,3,"TA",6,0,"Detchd",2,576,"TA","TA",0,0,0,0
2252,245,44,12864,"CulDSac","1Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",1392,17,1409,"GasA","Ex","Y",1409,0,1409,1,0,1,1,1,"Gd",4,1,"Attchd",2,576,"TA","TA",0,144,0,145
1443,235,75,12192,"Inside","2Story",7,5,2000,2001,"Gd","TA","PConc","Gd","TA","GLQ",663,265,928,"GasA","Ex","Y",928,895,1823,1,0,2,1,3,"Gd",6,0,"Attchd",2,626,"TA","TA",192,36,0,0
