"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
101,177.5,0,2117,"Inside","2Story",6,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",378,378,756,"GasA","Ex","Y",769,804,1573,0,0,2,1,3,"Gd",5,0,"Detchd",2,440,"TA","TA",0,32,0,0
533,209,65,8127,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",410,402,812,"GasA","Ex","Y",812,841,1653,1,0,2,1,3,"Gd",6,0,"Attchd",2,628,"TA","TA",0,45,0,0
2610,159,77,9786,"Inside","1.5Fin",6,7,1962,1981,"TA","TA","CBlock","TA","TA","Rec",600,312,912,"GasA","TA","Y",1085,649,1734,0,0,1,1,3,"Gd",7,1,"Attchd",2,440,"TA","TA",0,0,0,128
1186,174,80,10400,"Inside","1Story",7,6,1970,1970,"TA","TA","PConc","TA","TA","Unf",0,1304,1304,"GasA","Gd","Y",1682,0,1682,0,0,2,0,3,"TA",7,1,"Attchd",2,530,"TA","TA",98,0,0,0
1429,225,0,11454,"Corner","SLvl",8,5,1995,1995,"Gd","TA","PConc","Gd","TA","GLQ",770,631,1401,"GasA","Ex","Y",1511,0,1511,1,0,2,0,3,"Gd",6,1,"Attchd",3,811,"TA","TA",168,42,0,0
1246,116,60,11556,"Inside","1Story",5,6,1952,1952,"TA","TA","CBlock","TA","TA","Rec",148,572,720,"GasA","Ex","Y",882,0,882,1,0,1,0,2,"Gd",4,0,"Attchd",1,240,"TA","TA",0,0,0,0
2566,119,0,8917,"Inside","1Story",5,5,1967,1967,"TA","TA","CBlock","TA","TA","Unf",0,1584,1584,"GasA","TA","Y",1584,0,1584,0,0,2,0,4,"TA",8,0,"Detchd",2,506,"TA","TA",0,0,0,0
89,127,0,6897,"Corner","1Story",5,8,1962,2010,"TA","Gd","CBlock","TA","TA","ALQ",659,381,1040,"GasA","Ex","Y",1040,0,1040,1,0,1,1,3,"TA",6,0,"Detchd",1,260,"TA","TA",0,104,0,0
2723,105,0,17529,"Inside","1Story",5,5,1924,1950,"TA","TA","BrkTil","TA","TA","Unf",0,872,872,"GasA","Fa","N",872,0,872,0,0,1,0,2,"Fa",5,1,"Detchd",1,322,"Fa","Fa",0,0,116,0
1713,245.7,70,9926,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",1178,436,1614,"GasA","Ex","Y",1614,0,1614,1,0,2,0,3,"Gd",7,0,"Attchd",3,878,"TA","TA",100,38,0,0
826,239,122,11923,"Corner","1Story",9,5,2007,2007,"Gd","TA","PConc","Ex","TA","Unf",0,1800,1800,"GasA","Ex","Y",1800,0,1800,0,0,2,0,2,"Ex",7,0,"Attchd",2,702,"TA","TA",288,136,0,0
2795,197,70,8726,"Inside","2Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","Unf",0,872,872,"GasA","Ex","Y",872,1037,1909,0,0,2,1,4,"Gd",8,0,"BuiltIn",2,529,"TA","TA",0,108,0,0
2042,122,60,10120,"Inside","2.5Unf",7,4,1910,1950,"Fa","TA","CBlock","TA","TA","Unf",0,925,925,"GasA","TA","N",964,925,1889,0,0,1,1,4,"TA",9,1,"Detchd",1,308,"TA","TA",0,0,264,0
2241,152,75,13710,"Inside","1.5Fin",5,5,1950,1950,"TA","TA","CBlock","TA","TA","BLQ",420,490,910,"GasA","TA","Y",910,648,1558,0,0,1,1,4,"TA",6,0,"Attchd",1,282,"TA","TA",289,0,0,0
1254,146,76,12436,"Inside","1Story",5,5,1957,1957,"TA","TA","CBlock","TA","TA","Unf",0,1824,1824,"GasA","Fa","Y",1824,0,1824,0,0,2,0,5,"TA",9,0,"Detchd",2,484,"TA","TA",0,0,0,0
1581,184,47,12416,"Inside","1Story",6,5,1986,1986,"TA","TA","CBlock","Gd","Fa","ALQ",1398,0,1606,"GasA","TA","Y",1651,0,1651,1,0,2,0,3,"TA",7,1,"Attchd",2,616,"TA","TA",192,0,0,0
2063,143.5,71,8197,"Inside","1Story",6,5,1977,1977,"TA","TA","CBlock","TA","TA","Unf",0,660,660,"GasA","Ex","Y",1285,0,1285,0,0,1,1,3,"TA",7,1,"Attchd",2,528,"TA","TA",138,0,0,0
2150,200,65,8158,"Inside","2Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","Unf",0,860,860,"GasA","Ex","Y",860,869,1729,0,0,2,1,3,"Gd",7,0,"Attchd",2,542,"TA","TA",386,63,0,0
